Births;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Argentina;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25056;25115;25204;25325;25477;25663;25881;26135;26423;26748;27109;27509;27947;28425;28944;29504;30107;30754;31446;32184;32968;33772;34596;35439;36303;37188;38095;39024;39975;40950;41949;42974;44025;45103;46209;47342;48504;49696;50918;52172;53458;54777;56130;57517;58939;60398;61894;63428;65000;66614;68297;70052;71881;73788;75775;77846;80003;82250;84590;86202;87745;96598;99001;101949;105021;108219;111160;114642;118271;122015;125545;129519;131979;134152;136672;139231;141505;144958;148505;152150;155893;159737;165410;171302;177423;183874;190651;197150;203961;211099;218580;225706;231825;238195;244824;251609;257704;263899;270192;276574;282779;289347;296232;301796;305521;308027;309856;311546;313598;316539;320741;326475;333283;340121;346162;351548;356803;359093;360851;364979,285714286;369107,571428571;373235,857142857;377364,142857143;381492,428571429;385620,714285714;389749;393877,285714286;398005,571428571;402133,857142857;406262,142857143;410390,428571429;414518,714285714;418647;422775,285714286;426903,571428571;431031,857142857;435160,142857143;439288,428571429;443416,714285714;447545;450156;455272;460175;464865;469338;473581;477599;481394;484950;488278;491425;494500;497700;501303;505604;510875;517364;525326;535005;547141;562535;581061;602011;624338;646074;664930;679360;688549;692479;692059;688983;685515;683454;683579;686234;691160;697205;703325;709058;713797;717019;718689;718965;718065;716536;715112;714459;715025;716937;720037;723903;727896;731519;734597;737156;739397;741619;743998;746494;748943;751107;752745;753695;753914;753429
Armenia;21994;21994;22020;22020;22020;22046;22046;22046;22073;22073;22073;22082;22128;22157;22196;22272;22331;22400;22507;22597;22698;22836;22959;23092;23263;23418;23584;23790;23979;24179;24391;24644;24869;25097;25357;25590;25824;26092;26331;26572;26847;27093;27342;27625;27878;28134;28425;28685;28948;29214;29516;29785;30056;30365;30641;30920;31238;31522;31809;32136;32429;32724;33061;33361;33665;34011;34321;34633;34948;35308;35629;35953;36323;36643;36977;37357;37697;38030;38421;38771;39124;39517;39876;40239;40645;41015;41388;41758;42187;42571;42958;43399;43794;44193;44646;45053;45411;45771;46134;46501;46870;47241;47610;47987;48368;48751;49138;49518;49910;50305;50704;51103;51507;51915;52326;52740;53158;53578;54007;54437;54871;55309;55749;56193;56641;57092;56585;56064;55458;54908;54367,9047619048;53827,8095238095;53287,7142857143;52747,619047619;52207,5238095238;51667,4285714286;51127,3333333333;50587,2380952381;50047,1428571429;49507,0476190476;48966,9523809524;48426,8571428571;47886,7619047619;47346,6666666667;46806,5714285714;46266,4761904762;45726,380952381;45186,2857142857;44646,1904761905;44106,0952380952;43566;44970;47795;50656;53553;56472;59370;62194;64842;67126;68845;69808;69860;68973;67270;65033;62637;60481;58873;57967;57798;58264;59099;60084;61145;62256;63437;64742;66193;67760;69463;71340;73338;75338;77185;78648;79486;79546;78741;77040;74401;70834;66563;61883;57065;52467;48436;45160;42745;41239;40590;40637;41069;41607;42095;42407;42479;42365;42114;41731;41254;40748;40269;39850;39488;39140
Aruba;762;762;762;762;762;762;762;762;762;762;762;762;762;763;764;765;766;767;769;771;773;775;777;780;782;785;788;792;795;799;803;807;812;816;820;825;829;833;838;842;846;851;855;860;864;869;873;878;883;887;892;896;901;906;911;915;920;925;930;935;940;945;950;955;960;965;970;975;980;985;990;995;1001;1006;1011;1016;1022;1027;1032;1038;1043;1049;1054;1060;1065;1071;1076;1082;1088;1093;1099;1105;1111;1116;1122;1128;1134;1140;1146;1152;1158;1164;1170;1176;1182;1189;1195;1201;1207;1214;1220;1226;1233;1239;1246;1252;1259;1265;1272;1279;1286;1292;1299;1306;1313;1320;1326;1333;1340;1347;1367;1387;1407;1427;1447;1467;1487;1507;1527;1547;1567;1587;1607;1627;1647;1667;1687;1707;1727;1747;1767;1779;1802;1823;1842;1859;1874;1885;1892;1893;1886;1869;1840;1799;1749;1691;1630;1569;1514;1466;1428;1399;1378;1364;1355;1351;1351;1355;1360;1365;1369;1370;1367;1360;1351;1338;1325;1312;1302;1294;1291;1290;1292;1296;1301;1305;1308;1309;1308;1304;1296;1285;1271;1255;1237;1217;1196;1173;1150;1127;1105;1086;1069;1056;1047;1042
Australia;15783;15699;15616;15533;15450;15368;15286;15204;15123;15042;14963;14878;14791;14706;14629;14556;14479;14400;14319;14239;14170;14109;14059;14034;14020;14015;13987;13971;13965;14009;14085;14215;14358;14536;14730;14937;15158;15380;15662;16011;16406;16814;17369;18055;18872;19833;20877;22079;23386;24721;27403;29424;29176;32899;33615;38799;39877;45563;48613;51433;53508;55288;58836;58767;62558;63372;61705;64426;66335;65033;66727;67229;67409;69567;70297;70466;72436;72035;74925;78007;79531;81916;82823;86408;91242;94617;96950;100762;103666;104325;108108;109307;109366;108856;104348;104985;99858;100836;98802;100688;102203;103321;102848;98823;104608;105383;108711;110924;112075;114841;117699;122897;133483;135214;137142;134425;132099;131147;126650;122252;136308;136816;137969;135216;135221;136278;133632;133806;134308;129267;132062,571428571;134858,142857143;137653,714285714;140449,285714286;143244,857142857;146040,428571429;148836;151631,571428571;154427,142857143;157222,714285714;160018,285714286;162813,857142857;165609,428571429;168405;171200,571428571;173996,142857143;176791,714285714;179587,285714286;182382,857142857;185178,428571429;187974;191231;197460;203124;208222;212757;216736;220182;223132;225643;227793;229674;231396;233071;234799;236815;239362;242415;245785;249199;251996;253385;252935;250553;246467;241323;236040;231575;228634;227498;228158;230277;233138;236138;239032;241739;244339;246997;249765;252512;254971;256835;257919;258158;257599;256296;254368;252170;250120;248592;248146;249323;252268;256920;263098;270387;278205;285882;292864;298845;303687;307468;310546;313217;315568;317650
Austria;115659;115947;116236;116525;116815;117106;117397;117690;117982;118276;118584;118894;119218;119557;119912;120280;120664;121063;121479;121910;122356;122818;123297;123790;124301;124828;125321;125881;126459;127053;127663;128299;128945;129603;130271;130950;131642;132345;133060;133785;134522;135278;136053;136846;137659;138491;139339;140260;141147;142051;142973;143913;144863;145823;146794;147777;148770;149773;150788;151814;152834;152803;152781;152767;152760;152481;152484;152496;152509;152529;152553;154524;159251;163152;163325;165252;170213;164839;162209;163810;165668;164253;166199;165896;169838;168113;170120;170817;170358;172251;166046;177041;172102;175804;176568;181160;182845;181894;184502;186410;187305;189736;192018;184265;187963;181688;184461;181020;180039;180039;176432;168910;170447;163315;157833;151824;145217;137978;128943;120626;146749;150948;150889;146902;142149;135840;127248;118665;116724;112040;111294;110548;109802;109056;108310;107564;106818;106072;105326;104580;103834;103088;102342;101596;100850;100104;99358;98612;97866;97120;96374;98441;102512;106460;110285;113983;117543;120941;124135;127056;129617;131719;133249;134105;134207;133425;131642;128912;125370;121175;116505;111549;106542;101739;97366;93680;90883;88951;87797;87340;87378;87640;87874;87907;87682;87300;86980;86945;87306;88012;88881;89643;90041;89906;89202;87976;86367;84618;82942;81447;80205;79229;78458;77847;77401;77134;77062;77176;77460;77891;78447;79108;79841;80608;81370;82096
Azerbaijan;48499;48499;48499;48499;48499;48499;48499;48499;48499;48499;48499;48521;48563;48628;48714;48822;48953;49106;49281;49480;49702;49947;50215;50507;50823;51163;51528;51917;52332;52771;53235;53725;54220;54719;55223;55731;56244;56762;57284;57812;58344;58881;59423;59970;60522;61079;61641;62209;62781;63359;63943;64526;65116;65710;66310;66916;67527;68143;68766;69394;70027;70667;71312;71963;72620;73283;73953;74628;75309;75997;76691;77391;78098;78789;79509;80235;80967;81686;82432;83185;83944;84692;85465;86246;87016;87811;88612;89407;90223;91047;91878;92717;93564;94418;95280;96150;96693;97238;97785;98333;98883;99436;99976;100532;101089;101649;102210;102753;103317;103884;104452;105016;105587;106161;106736;107312;107890;108470;109062;109653;110246;110840;111436;112033;112632;113233;113394;113550;113549;113689;114067;114445;114823;115201;115579;115957;116335;116713;117091;117469;117847;118225;118603;118981;119359;119737;120115;120493;120871;121249;121627;123115;126358;130132;134439;139256;144507;150084;155781;161243;166059;169812;172110;172732;171698;169191;165566;161418;157299;153562;150477;148168;146536;145507;145124;145408;146337;147834;149826;152275;155240;158817;162993;167655;172616;177747;182940;187948;192420;195970;197914;197548;194707;189546;182431;173970;164952;156354;149073;143732;140981;141228;144129;149163;155907;163788;172156;180302;187563;193435;197513;199629;200057;199084;196821;193366
Bahamas;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1126;1127;1127;1127;1128;1128;1129;1129;1130;1131;1131;1132;1133;1133;1134;1135;1136;1137;1138;1139;1139;1140;1141;1142;1143;1144;1146;1149;1154;1159;1167;1175;1185;1196;1209;1223;1238;1254;1270;1287;1305;1324;1343;1363;1384;1406;1428;1450;1472;1494;1515;1536;1557;1577;1596;1616;1634;1652;1671;1689;1708;1727;1746;1765;1784;1804;1822;1841;1860;1877;1895;1912;1930;1949;1968;1988;2009;2031;2053;2077;2101;2124;2146;2166;2185;2203;2223;2238;2250;2260;2268;2277;2285;2293;2298;2303;2298;2285;2273;2260;2248;2236;2224;2211;2199;2200;2215;2242;2270;2299;2298;2302;2301;2300;2320,09523809524;2340,19047619048;2360,28571428571;2380,38095238095;2400,47619047619;2420,57142857143;2440,66666666667;2460,7619047619;2480,85714285714;2500,95238095238;2521,04761904762;2541,14285714286;2561,2380952381;2581,33333333333;2601,42857142857;2621,52380952381;2641,61904761905;2661,71428571429;2681,80952380952;2701,90476190476;2722;2735;2773;2837;2926;3041;3178;3335;3503;3673;3831;3964;4061;4117;4136;4134;4135;4159;4221;4321;4448;4582;4700;4790;4852;4900;4958;5046;5176;5342;5530;5711;5861;5963;6014;6025;6019;6018;6040;6086;6148;6212;6257;6268;6238;6160;6031;5863;5672;5471;5284;5134;5035;4994;5011;5082;5191;5316;5439;5547;5635;5699;5748;5785;5811;5827
Bahrain;3116;3116;3116;3116;3116;3116;3116;3116;3116;3116;3116;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3112;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3108;3103;3103;3103;3103;3103;3103;3103;3103;3104;3106;3108;3111;3116;3121;3126;3133;3141;3149;3158;3169;3171;3184;3197;3211;3224;3241;3259;3277;3295;3313;3332;3350;3369;3388;3406;3425;3444;3463;3483;3502;3522;3536;3556;3576;3596;3616;3636;3656;3677;3697;3717;3738;3759;3780;3801;3822;3843;3864;3886;3908;3934;3966;3998;4035;4073;4111;4150;4189;4228;4268;4308;4348;4389;4430;4471;4519;4561;4591,80952380952;4622,61904761905;4653,42857142857;4684,2380952381;4715,04761904762;4745,85714285714;4776,66666666667;4807,47619047619;4838,28571428571;4869,09523809524;4899,90476190476;4930,71428571429;4961,52380952381;4992,33333333333;5023,14285714286;5053,95238095238;5084,7619047619;5115,57142857143;5146,38095238095;5177,19047619048;5208;5301;5495;5702;5923;6157;6403;6658;6918;7177;7424;7651;7850;8013;8139;8223;8263;8269;8257;8244;8253;8308;8423;8608;8869;9207;9620;10088;10589;11106;11623;12129;12614;13068;13474;13817;14081;14266;14379;14424;14406;14330;14215;14084;13959;13866;13825;13847;13940;14112;14372;14719;15138;15613;16127;16674;17254;17852;18446;19005;19483;19832;20032;20078;19975;19745
Bangladesh;888929;890682;892438;894198;895961;897728;899498;901271;903049;904829;906678;908566;910558;912656;914859;917168;919584;922108;924740;927480;930330;933291;936362;939544;942839;946247;949768;953403;957153;961019;965001;969099;973216;977349;981500;985669;989856;994060;998282;1002522;1006781;1011057;1015351;1019664;1023995;1028344;1032712;1037098;1041503;1045927;1050369;1054663;1058974;1063303;1067649;1072014;1076396;1080795;1085213;1089649;1094103;1098663;1103330;1108104;1112988;1117981;1123084;1128299;1133627;1139068;1144624;1150295;1156083;1161455;1167506;1173686;1179995;1186136;1192792;1199593;1206434;1213203;1220121;1227078;1233977;1241013;1248090;1255121;1262278;1269475;1276714;1283994;1291315;1298679;1306084;1313531;1321020;1328553;1336128;1343746;1351408;1359114;1366785;1374578;1382416;1390298;1398225;1406085;1414102;1422165;1430273;1438395;1446596;1454426;1461880;1468955;1476064;1483207;1490705;1498159;1505652;1513181;1520749;1528354;1535997;1543678;1547140;1550597;1554051;1561555;1568971,57142857;1576388,14285714;1583804,71428571;1591221,28571429;1598637,85714286;1606054,42857143;1613471;1620887,57142857;1628304,14285714;1635720,71428571;1643137,28571429;1650553,85714286;1657970,42857143;1665387;1672803,57142857;1680220,14285714;1687636,71428571;1695053,28571429;1702469,85714286;1709886,42857143;1717303;1750189;1816230;1882811;1949933;2017629;2086002;2155116;2225137;2296398;2369195;2443710;2519915;2597357;2675134;2751808;2825770;2895781;2960986;3021000;3075633;3125151;3170896;3214351;3256625;3299587;3345131;3393742;3445087;3498312;3551751;3603193;3650119;3690387;3722715;3745919;3759491;3764735;3763289;3756391;3745785;3733310;3720341;3707893;3696553;3686635;3677895;3668925;3658223;3644758;3626663;3602003;3570345;3532154;3488482;3441354;3393378;3347251;3305137;3268209;3237136;3211713;3190181;3170788;3152549;3134427
Barbados;3024;3007;2989;2972;2955;2938;2920;2903;2886;2869;2851;2836;2824;2813;2805;2799;2795;2793;2794;2854;2918;2985;3056;3130;3208;3290;3376;3466;3560;3660;3764;3872;3984;4098;4162;4227;4293;4360;4428;4497;4568;4639;4710;4781;4852;4923;4994;5064;5134;5204;5274;5344;5411;5476;5540;5601;5660;5716;5771;5823;5872;5919;5964;6007;6050;6090;6130;6168;6205;6240;6274;6306;6337;6367;6399;6431;6463;6494;6527;6560;6594;6627;6661;6695;6729;6764;6799;6834;6871;6908;6946;6984;7023;7063;7103;7144;7186;7215;7231;7234;7224;7201;7200;7148;7080;6998;6900;6801;6706;6612;6525;6437;6363;6299;6235;6173;6110;6067;6024;5981;5939;5837;5770;5736;5701;5665;5642;5617;5591;5565;5665,28571428571;5765,57142857143;5865,85714285714;5966,14285714286;6066,42857142857;6166,71428571429;6267;6367,28571428571;6467,57142857143;6567,85714285714;6668,14285714286;6768,42857142857;6868,71428571429;6969;7069,28571428571;7169,57142857143;7269,85714285714;7370,14285714286;7470,42857142857;7570,71428571429;7671;7637;7572;7511;7454;7400;7348;7296;7240;7172;7084;6970;6822;6640;6428;6197;5961;5736;5533;5358;5212;5088;4977;4871;4770;4676;4596;4535;4494;4471;4462;4458;4452;4438;4415;4380;4338;4294;4251;4211;4173;4136;4099;4059;4016;3970;3921;3870;3818;3767;3719;3675;3636;3604;3578;3558;3541;3527;3514;3501;3486;3471;3456;3441;3427;3412
